,Unnamed: 0,attraction_id,country,province,city,lien_detail,image,category,nbre_review,address,name,rating,price,lat,lng
58,58,58,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d136291-Reviews-Union_Square-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/e5/da/02/photo5jpg.jpg?w=500&h=400&s=1,59. Union Square,1475,"{'lat': 40.73652267, 'lng': -73.99076843}",Neighborhoods • Points of Interest & Landmarks,4.0,78.0,40.73652267,-73.99076843
59,59,59,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d207715-Reviews-Brookfield_Place-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c4/ca/3d/the-winter-garden-at.jpg?w=500&h=400&s=1,60. Brookfield Place,584,"{'lat': 40.71304703, 'lng': -74.00723267}",Shopping Malls,4.5,289.0,40.71304703,-74.00723267
60,60,60,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d559085-Reviews-St_Patrick_s_Old_Cathedral-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0d/8c/74/fb-img-1468770618747.jpg?w=500&h=-1&s=1,61. St. Patrick's Old Cathedral,473,"{'lat': 40.71304703, 'lng': -74.00723267}",Architectural Buildings • Religious Sites,4.5,79.0,40.71304703,-74.00723267
61,61,61,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d11727122-Reviews-World_Trade_Center_Station_PATH-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4a/95/dd/the-interior-of-the-structure.jpg?w=500&h=400&s=1,62. World Trade Center Station (PATH),1291,"{'lat': 40.70780182, 'lng': -74.01190186}",Architectural Buildings,4.5,213.34,40.70780182,-74.01190186
62,62,62,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143368-Reviews-Upper_West_Side-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/9c/33/b7/upper-west-side.jpg?w=500&h=-1&s=1,63. Upper West Side,885,"{'lat': 40.78846359, 'lng': -73.98106384}",Neighborhoods • Points of Interest & Landmarks,4.5,106.0,40.78846359,-73.98106384
63,63,63,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d532143-Reviews-Bethesda_Fountain-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/10/be/c3/great-weekend-walk.jpg?w=500&h=-1&s=1,64. Bethesda Fountain,770,"{'lat': 40.78384018, 'lng': -73.96555328}",Fountains,4.5,50.0,40.78384018,-73.96555328
64,64,64,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d548694-Reviews-New_Amsterdam_Theater-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/07/2b/3c/photo1jpg.jpg?w=500&h=-1&s=1,65. New Amsterdam Theater,654,"{'lat': 40.714553, 'lng': -74.03454702}",Theaters,4.5,108.0,40.714553,-74.03454702
65,65,65,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d143388-Reviews-Harlem-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a8/db/35/harlem.jpg?w=500&h=-1&s=1,66. Harlem,1192,"{'lat': 40.80881119, 'lng': -73.94776917}",Neighborhoods,4.0,25.0,40.80881119,-73.94776917
66,66,66,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d136066-Reviews-Manhattan_Bridge-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fd/98/d7/manhattan-bridge.jpg?w=500&h=400&s=1,67. Manhattan Bridge,1250,"{'lat': 40.71304703, 'lng': -74.00723267}",Bridges,4.5,68.0,40.71304703,-74.00723267
67,67,67,United States,New York (NY),New York City,https://www.tripadvisor.com/Attraction_Review-g60763-d136143-Reviews-New_York_Historical_Society_Museum_Library-New_York_City_New_York.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/bc/9d/55/new-york-historical-society.jpg?w=500&h=-1&s=1,68. New-York Historical Society Museum & Library,854,"{'lat': 40.71304703, 'lng': -74.00723267}",Speciality Museums • Art Museums,4.5,149.0,40.71304703,-74.00723267
