attration_id,country,province,city,lien_detail,per_adult_value,image,titre,nbre_review,address,description,time,score,long_description,price
135,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d26786663-Grand_Helicopter_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/a2/b7/43/caption.jpg?w=500&h=400&s=1,136. Grand Helicopter Tour,2,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,20–25 minutes,3.5,"The Grand Tour takes everything from the Liberty and Central Park tours, and then adds in other Big Apple favorites known…",354.0
136,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11448548-New_York_City_Brooklyn_Bridge_Waterfront_Bike_Tour_2_Hours-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/7c/c6/caption.jpg?w=500&h=400&s=1,137. New York City: Brooklyn Bridge & Waterfront Bike Tour (2 Hours),44,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,2 hours,4.5,"As one of New York City's beloved landmarks, most travelers visit the Brooklyn Bridge, but only a few really see it up close…",60.0
137,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11457974-9_11_Memorial_Ground_Zero_Tour_with_Optional_One_World_Observatory_Ticket-New_York_.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/7c/25/caption.jpg?w=500&h=400&s=1,"138. 9/11 Memorial, Ground Zero Tour with Optional One World Observatory Ticket",370,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,3 hours,5.0,Gain a deeper understanding of the tragic events of September 11th on a group tour of Ground Zero. Listen to uplifting stories…,39.0
138,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d23927122-The_Empire_Helicopter_Tour_of_New_York-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ee/0a/30/caption.jpg?w=500&h=400&s=1,139. The Empire Helicopter Tour of New York,24,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,25–30 minutes,4.0,"See the Big Apple’s most iconic landmarks and building up close on this popular helicopter tour of New York City, while …",349.0
139,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d16692039-Private_Central_Park_Pedicab_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d4/03/3e/caption.jpg?w=500&h=400&s=1,140. Private Central Park Pedicab Tour,1246,"{'lat': 40.71304703, 'lng': -74.00723267}",Private and Luxury,1–3 hours,5.0,Treat yourself to a tour of New York City's Central Park on a pedicab guided tour. Sit back and relax as you ride along …,50.0
140,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11803672-NYC_Greenwich_Village_Italian_Food_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/01/a1/8e/caption.jpg?w=500&h=400&s=1,141. NYC Greenwich Village Italian Food Tour,492,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,2–3 hours,5.0,"Experience the atmosphere of historic Greenwich Village on this gourmet Italian food tour with tastes of meatballs, and …",89.0
141,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d15524635-New_York_Walking_and_Food_Tour_in_Flushing-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/94/36/bf/caption.jpg?w=500&h=400&s=1,142. New York Walking and Food Tour in Flushing,9,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,2 hours,5.0,"Greetings, I'm Owen, based in Flushing, New York. With years of experience as a tour guide, my love for travel, delicious…",59.0
142,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11482076-Private_Statue_of_Liberty_and_Ellis_Island_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/bb/b1/caption.jpg?w=500&h=400&s=1,143.  Private Statue of Liberty and Ellis Island Tour,142,"{'lat': 40.71304703, 'lng': -74.00723267}",Historical Tours,4 hours,5.0,"Make the most of a trip to the Statue of Liberty and Ellis Island with this private, half-day tour. There’s no getting lost…",190.0
143,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11446844-Central_Park_TV_and_Movie_Sites_Walking_Tour-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/85/bd/9e/caption.jpg?w=500&h=400&s=1,144. Central Park TV and Movie Sites Walking Tour,274,"{'lat': 40.71304703, 'lng': -74.00723267}",Movie Tours,2 hours,5.0,See New York City through the eyes of a local actor who sheds light on more than 30 filming locations set in Central Park…,36.0
144,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d11463484-Drunk_Shakespeare_Ticket_NYC-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7f/fd/83/caption.jpg?w=500&h=400&s=1,145. Drunk Shakespeare Ticket NYC,267,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,1–2 hours,5.0,"""Drink sir, is a great provoker...""

The stage is set in a hidden venue. Five professional actors meet as members of The…",45.0
145,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d15777559-Excursion_to_Washington_from_New_York_in_1_day-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0c/f0/23/caption.jpg?w=500&h=400&s=1,146. Excursion to Washington from New York in 1 day,172,"{'lat': 40.71304703, 'lng': -74.00723267}",Full-day Tours,6+ hours,4.5,"Mandatory Carry Passport to enter the Arlington Cemetery.
Explore beyond the Big Apple on a full-day tour of Washington …",119.0
146,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d14986527-Ultimate_Rooftop_Bar_Lounge_Night_Tour_NYC-New_York_City_New_York.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/e2/71/32/caption.jpg?w=500&h=400&s=1,147. Ultimate Rooftop Bar & Lounge Night Tour NYC,25,"{'lat': 40.71304703, 'lng': -74.00723267}",Food & Drink,3 hours,4.5,"The Hells Kitchen neighborhood is one of New York City's newest party hotspots, but with so many places to check out, it…",36.0
147,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d12000884-Pedicab_Guided_Tour_of_Central_Park-New_York_City_New_York.html,per group,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fa/00/09/caption.jpg?w=500&h=400&s=1,148. Pedicab Guided Tour of Central Park,225,"{'lat': 40.71304703, 'lng': -74.00723267}",City Tours,40 minutes,5.0,"Explore the expanse of Central Park, one of New York City's star attractions, while riding comfortably in a pedicab pedaled…",125.0
148,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d17823361-Niagara_Falls_USA_and_Washington_D_C_3_Day_Tour_from_New_York-New_York_City_New_Yor.html,per adult,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bb/dd/e7/caption.jpg?w=500&h=400&s=1,149. BEST Niagara Falls USA and Washington DC 3-Day Tour from New York,123,"{'lat': 40.71304703, 'lng': -74.00723267}",Adventure Tours,3 days,5.0,"Visit the nation’s capital at Washington, D.C., and check out its most iconic sites including the White House, Lincoln Memorial…",360.0
149,United States,New York (NY),New York City,https://www.tripadvisor.com/AttractionProductReview-g60763-d12033102-NYC_Central_Park_Horse_and_Carriage_Ride_Long_Ride_45_min-New_York_City_New_York.html,per group,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/08/40/e9/caption.jpg?w=500&h=400&s=1,150. NYC Central Park Horse and Carriage Ride: Long Ride 45 min,17,"{'lat': 40.71304703, 'lng': -74.00723267}",Horse Carriage Rides,45 minutes,4.0,Pass by many historical landmarks of the Central Park by horse drawn carriage ride. This is a perfect activity for a romantic…,155.0
